Space Invader PA_0150;PA_0150; PA; angle de la Sorbonne; angle de la Sorbonne;48.8474500000; 2.3435800000
Space Invader PA_0167;PA_0167; PA;  PA_0168, 37 rue Richelieu;  PA_0168, 37 rue Richelieu;48.8655230000; 2.3366740000
Space Invader PA_0167;PA_0168; PA;  PA_0168, 37 rue Richelieu;  PA_0168, 37 rue Richelieu;48.8655230000; 2.3366740000
Space Invader PA_0172;PA_0172; PA; 21 rue Carpeaux; 21 rue Carpeaux;48.8911900000; 2.3318000000
Space Invader PA_0179;PA_0179; PA; entrée du tunnel de Champigny; entrée du tunnel de Champigny;48.8272500000; 2.5072100000
Space Invader PA_0188;PA_0188; PA; 39 rue des Francs-Bourgeois; 39 rue des Francs-Bourgeois;48.8578800000; 2.3601800000
Space Invader PA_0190;PA_0190; PA; 1 rue Stendhal; 1 rue Stendhal;48.8602080000; 2.4037040000
Space Invader PA_0192;PA_0192; PA; face au 130 rue de Bagnolet; face au 130 rue de Bagnolet;48.8609740000; 2.4049650000
Space Invader PA_0196;PA_0196; PA; place de la Bataille de Stalingrad; place de la Bataille de Stalingrad;48.8837030000; 2.3688950000
Space Invader PA_0205;PA_0205; PA; parvis de Saint-Vincent-de-Paul; parvis de Saint-Vincent-de-Paul;48.8780730000; 2.3516800000
Space Invader PA_0208;PA_0208; PA; métro Raspail; métro Raspail;48.8374280000; 2.3314910000
Space Invader PA_0209;PA_0209; PA; sur la coque du Batofar; sur la coque du Batofar;48.8333510000; 2.3793870000
Space Invader PA_0211;PA_0211; PA; 30 rue du Faubourg Saint-Antoine; 30 rue du Faubourg Saint-Antoine;48.8524410000; 2.3716070000
Space Invader PA_0212;PA_0212; PA; 123 boulevard de Charonne; 123 boulevard de Charonne;48.8570500000; 2.3930500000
Space Invader PA_0213;PA_0213; PA; 84 rue Mouffetard; 84 rue Mouffetard;48.8420990000; 2.3496830000
Space Invader PA_0215;PA_0215; PA;  PA_1056, 0 rue Montgallet;  PA_1056, 0 rue Montgallet;48.8425920000; 2.3861570000
Space Invader PA_0219;PA_0219; PA; face au 8 rue André Voguet; face au 8 rue André Voguet;48.8195700000; 2.3736700000
Space Invader PA_0224;PA_0224; PA; sur les panneaux d'information du périph'; sur les panneaux d'information du périph';48.8198740000; 2.3736070000
Space Invader PA_0232;PA_0232; PA; 11 rue Française; 11 rue Française;48.8645430000; 2.3476720000
Space Invader PA_0236;PA_0236; PA; 16 rue Magellan; 16 rue Magellan;48.8709500000; 2.2996400000
Space Invader PA_0238;PA_0238; PA; 8 rue François 1er; 8 rue François 1er;48.8660540000; 2.3075210000
Space Invader PA_0241;PA_0241; PA; métro Bel-Air face sud; métro Bel-Air face sud;48.8410060000; 2.4008850000
Space Invader PA_0250;PA_0250; PA; entrée du mini-square de Jemmapes; entrée du mini-square de Jemmapes;48.8688610700; 2.3673552270
Space Invader PA_0251;PA_0251; PA; à l'ouest de la fontaine des Innocents; à l'ouest de la fontaine des Innocents;48.8606680000; 2.3480060000
Space Invader PA_0253;PA_0253; PA; pont de l'Alma côté rive droite; pont de l'Alma côté rive droite;48.8640590000; 2.3013870000
Space Invader PA_0254;PA_0254; PA; 101 avenue des Champs-Élysées; 101 avenue des Champs-Élysées;48.8718090000; 2.3005410000
Space Invader PA_0255;PA_0255; PA; sous le banc face à l'arrêt de bus Varsovie; sous le banc face à l'arrêt de bus Varsovie;48.8612970000; 2.2913540000
Space Invader PA_0256;PA_0256; PA; place de Varsovie; place de Varsovie;48.8608660000; 2.2918050000
Space Invader PA_0257;PA_0257; PA; métro Passy; métro Passy;48.8576960000; 2.2857130000
Space Invader PA_0262;PA_0262; PA; place de la Nation (côté avenue du Trône); place de la Nation (côté avenue du Trône);48.8480060000; 2.3972850000
Space Invader PA_0263;PA_0263; PA; sur les marches du métro Victor Hugo; sur les marches du métro Victor Hugo;48.8699500000; 2.2856630000
Space Invader PA_0265;PA_0265; PA; face au 27 boulevard Jules Sandeau; face au 27 boulevard Jules Sandeau;48.8629230000; 2.2722690000
Space Invader PA_0266;PA_0266; PA; 11 rue de la Manutention; 11 rue de la Manutention;48.8646490000; 2.2956400000
Space Invader PA_0267;PA_0267; PA; 10 rue de Magdebourg; 10 rue de Magdebourg;48.8641440000; 2.2902350000
Space Invader PA_0268;PA_0268; PA; 96 rue de Courcelles; 96 rue de Courcelles;48.8790020000; 2.3036070000
Space Invader PA_0272;PA_0272; PA; 96 rue de Tolbiac; 96 rue de Tolbiac;48.8268000000; 2.3641640000
Space Invader PA_0275;PA_0275; PA; 14 rue Pierre Dupont; 14 rue Pierre Dupont;48.8794290000; 2.3652260000
Space Invader PA_0279;PA_0279; PA; 116 rue du Faubourg du Temple; 116 rue du Faubourg du Temple;48.8716300000; 2.3761500000
Space Invader PA_0283;PA_0283; PA; 101 rue du Faubourg du Temple; 101 rue du Faubourg du Temple;48.8708400000; 2.3735500000
Space Invader PA_0285;PA_0285; PA; passage Ben Aiad; passage Ben Aiad;48.8660300000; 2.3460700000
Space Invader PA_0291;PA_0291; PA; 15 rue des Plâtrières; 15 rue des Plâtrières;48.8678677500; 2.3901218175
Space Invader PA_0303;PA_0303; PA; 24 passage Boiton; 24 passage Boiton;48.8268200000; 2.3507500000
Space Invader PA_0305;PA_0305; PA; face au 49 rue Geoffroy-Saint-Hilaire; face au 49 rue Geoffroy-Saint-Hilaire;48.8427100000; 2.3555100000
Space Invader PA_0311;PA_0311; PA; face au 5 rue Bréa; face au 5 rue Bréa;48.8435790000; 2.3302930000
Space Invader PA_0320;PA_0320; PA; 34 rue du Faubourg Saint-Jacques; 34 rue du Faubourg Saint-Jacques;48.8366220000; 2.3381290000
Space Invader PA_0321;PA_0321; PA; 17 rue Malebranche; 17 rue Malebranche;48.8465370000; 2.3420150000
Space Invader PA_0322;PA_0322; PA; 77 allée du Séminaire; 77 allée du Séminaire;48.8488610000; 2.3328830000
Space Invader PA_0325;PA_0325; PA; 17 rue Robineau; 17 rue Robineau;48.8649600000; 2.3939700000
Space Invader PA_0327;PA_0327; PA; 29 rue du Faubourg Poissonnière; 29 rue du Faubourg Poissonnière;48.8730100000; 2.3478100000
Space Invader PA_0330;PA_0330; PA; 102 rue du Faubourg Poissonnière; 102 rue du Faubourg Poissonnière;48.8784070000; 2.3492660000
Space Invader PA_0335;PA_0335; PA; 135 boulevard de la Villette; 135 boulevard de la Villette;48.8821240000; 2.3699490000
Space Invader PA_0336;PA_0336; PA; centre d'Hygiène Sociale; centre d'Hygiène Sociale;48.8904390000; 2.3532390000
Space Invader PA_0340;PA_0340; PA; 45 quai de Bourbon; 45 quai de Bourbon;48.8535600000; 2.3536300000
Space Invader PA_0343;PA_0343; PA; pont d'Iéna (rive droite); pont d'Iéna (rive droite);48.8601730000; 2.2911050000
Space Invader PA_0346;PA_0346; PA; 16 boulevard Pasteur; 16 boulevard Pasteur;48.8429050000; 2.3122450000
Space Invader PA_0348;PA_0348; PA; 39bis boulevard de la Chapelle; 39bis boulevard de la Chapelle;48.8840370000; 2.3562540000
Space Invader PA_0349;PA_0349; PA; 7 avenue Bosquet; 7 avenue Bosquet;48.8612450000; 2.3025930000
Space Invader PA_0352;PA_0352; PA; 21 rue d'Alsace; 21 rue d'Alsace;48.8776748220; 2.3582142591
Space Invader PA_0353;PA_0353; PA; sortie de métro face au 27 boulevard de la Madeleine; sortie de métro face au 27 boulevard de la Madeleine;48.8694600000; 2.3247500000
Space Invader PA_0358;PA_0358; PA; 14 rue de Savies; 14 rue de Savies;48.8714630000; 2.3912850000
Space Invader PA_0362;PA_0362; PA; en face de Chez Prune; en face de Chez Prune;48.8717240000; 2.3647040000
Space Invader PA_0363;PA_0363; PA; 116 avenue de Choisy; 116 avenue de Choisy;48.8262982710; 2.3600086569
Space Invader PA_0364;PA_0364; PA; 347 rue de Vaugirard; 347 rue de Vaugirard;48.8371100000; 2.2963800000
Space Invader PA_0367;PA_0367; PA; 108 rue Brancion; 108 rue Brancion;48.8298100000; 2.3017000000
Space Invader PA_0372;PA_0372; PA; 63 rue du Faubourg Saint-Antoine; 63 rue du Faubourg Saint-Antoine;48.8519100000; 2.3740400000
Space Invader PA_0373;PA_0373; PA; 121 rue Oberkampf; 121 rue Oberkampf;48.8660610000; 2.3788090000
Space Invader PA_0377;PA_0377; PA; 52 boulevard Voltaire; 52 boulevard Voltaire;48.8630200000; 2.3710500000
Space Invader PA_0379;PA_0379; PA; 17 rue des Blancs-Manteaux; 17 rue des Blancs-Manteaux;48.8588100000; 2.3573100000
Space Invader PA_0380;PA_0380; PA; port du Gros-caillou; port du Gros-caillou;48.8629470000; 2.3092890000
Space Invader PA_0396;PA_0396; PA; 49 rue de Beaubourg; 49 rue de Beaubourg;48.8626680000; 2.3544100000
Space Invader PA_0399;PA_0399; PA; pont de l'Alma; pont de l'Alma;48.8625860000; 2.3021840000
Space Invader PA_0400;PA_0400; PA; 93 quai d'Orsay; 93 quai d'Orsay;48.8621660000; 2.3022840000
Space Invader PA_0402;PA_0402; PA; quai Anantole France; quai Anantole France;48.8624400000; 2.3201500000
Space Invader PA_0406;PA_0406; PA; 4 rue de Braque; 4 rue de Braque;48.8607470000; 2.3571330000
Space Invader PA_0412;PA_0412; PA; 15 rue Robineau; 15 rue Robineau;48.8647990000; 2.3935520000
Space Invader PA_0416;PA_0416; PA; 9 rue de Marseille; 9 rue de Marseille;48.8715370000; 2.3632210000
Space Invader PA_0422;PA_0422; PA; 32 rue Dunois; 32 rue Dunois;48.8312400000; 2.3691800000
Space Invader PA_0427;PA_0427; PA; 10 rue de Tolbiac; 10 rue de Tolbiac;48.8299120000; 2.3753630000
Space Invader PA_0428;PA_0428; PA; 7 avenue de la Grande Armée; 7 avenue de la Grande Armée;48.8745040000; 2.2923560000
Space Invader PA_0431;PA_0431; PA; rond-point de la porte de Vincennes; rond-point de la porte de Vincennes;48.8472690000; 2.4142880000
Space Invader PA_0437;PA_0437; PA; place du Colonel Fabien; place du Colonel Fabien;48.8776510000; 2.3705950000
Space Invader PA_0443;PA_0443; PA; entrée sud des Buttes Chaumont; entrée sud des Buttes Chaumont;48.8761500000; 2.3810940000
Space Invader PA_0445;PA_0445; PA; 181 rue Lafayette; 181 rue Lafayette;48.8803031210; 2.3608160018
Space Invader PA_0447;PA_0447; PA; à l'intérieur d'Artazart; à l'intérieur d'Artazart;48.8726500000; 2.3637700000
Space Invader PA_0450;PA_0450; PA; 5 rue Volta; 5 rue Volta;48.8647700000; 2.3568620000
Space Invader PA_0458;PA_0458; PA; 16 rue Elise Borey; 16 rue Elise Borey;48.8664030000; 2.3909360000
Space Invader PA_0467;PA_0467; PA; parc de Belleville; parc de Belleville;48.8715670000; 2.3849690000
Space Invader PA_0476;PA_0476; PA; 1 rue Paul Baudry; 1 rue Paul Baudry;48.8718100400; 2.3060882091
Space Invader PA_0481;PA_0481; PA; sous la plaque de rue du coin du parc; sous la plaque de rue du coin du parc;48.8449740000; 2.3324820000
Space Invader PA_0485;PA_0485; PA; 15 rue Paul Valérie; 15 rue Paul Valérie;48.8702640000; 2.2899090000
Space Invader PA_0486;PA_0486; PA; 26 rue Vaneau; 26 rue Vaneau;48.8529090000; 2.3190900000
Space Invader PA_0489;PA_0489; PA; 1 rue Clavel; 1 rue Clavel;48.8741114050; 2.3855942487
Space Invader PA_0493;PA_0493; PA; 87 rue Saint-Honoré; 87 rue Saint-Honoré;48.8612400000; 2.3435000000
Space Invader PA_0494;PA_0494; PA; 41 rue Delambre; 41 rue Delambre;48.8413275280; 2.3251493275
Space Invader PA_0497;PA_0497; PA; sortie routière de Roissy-Charles-de-Gaulle; sortie routière de Roissy-Charles-de-Gaulle;49.0067620000; 2.5281520000
Space Invader PA_0499;PA_0499; PA; pont Eugène-Varlin; pont Eugène-Varlin;48.8775190000; 2.3655070000
Space Invader PA_0501;PA_0501; PA; au pied des escaliers du boulevard du Temple; au pied des escaliers du boulevard du Temple;48.8663610000; 2.3646730000
Space Invader PA_0508;PA_0508; PA; 9 rue des Prouvaires; 9 rue des Prouvaires;48.8617020000; 2.3441750000
Space Invader PA_0510;PA_0510; PA; place de la Bastille; place de la Bastille;48.8532656000; 2.3706489801
Space Invader PA_0520;PA_0520; PA; viaduc rue Jacques Kablé; viaduc rue Jacques Kablé;48.8355460000; 2.4946960000
Space Invader PA_0521;PA_0521; PA; cimetière de Belleville; cimetière de Belleville;48.8755380000; 2.3998250000
Space Invader PA_0523;PA_0523; PA; face au 4 rue Jean du Bellay; face au 4 rue Jean du Bellay;48.8527870000; 2.3532240000
Space Invader PA_0525;PA_0525; PA; 16 rue Saint-Merri; 16 rue Saint-Merri;48.8594820000; 2.3527590000
Space Invader PA_0526;PA_0526; PA; au croisement de l'A86 et de la ligne de RER E; au croisement de l'A86 et de la ligne de RER E;48.8604320000; 2.4871260000
Space Invader PA_0527;PA_0527; PA; 74 rue Dunois; 74 rue Dunois;48.8331810000; 2.3662210000
Space Invader PA_0528;PA_0528; PA; 13 rue des Anglais; 13 rue des Anglais;48.8506320000; 2.3475600000
Space Invader PA_0530;PA_0530; PA; 83 rue de la Mare; 83 rue de la Mare;48.8735120000; 2.3884210000
Space Invader PA_0533;PA_0533; PA; sous le périph' porte de Cligancourt; sous le périph' porte de Cligancourt;48.9008160000; 2.3438110000
Space Invader PA_0536;PA_0536; PA; 7 rue de la Planchette; 7 rue de la Planchette;48.8395200000; 2.3887100000
Space Invader PA_0539;PA_0539; PA; 30 rue Beaubourg dans la cour; 30 rue Beaubourg dans la cour;48.8620140000; 2.3541910000
Space Invader PA_0540;PA_0540; PA; impasse Questre; impasse Questre;48.8682000000; 2.3813100000
Space Invader PA_0545;PA_0545; PA; 62 rue Villiers de l'Isle Adam; 62 rue Villiers de l'Isle Adam;48.8676100000; 2.3965900000
Space Invader PA_0546;PA_0546; PA; 320bis rue de Charenton; 320bis rue de Charenton;48.8319830000; 2.3971700000
Space Invader PA_0548;PA_0548; PA; 103 rue du Faubourg du Temple; 103 rue du Faubourg du Temple;48.8709790000; 2.3738440000
Space Invader PA_0549;PA_0549; PA; 54 rue des Vinaigriers; 54 rue des Vinaigriers;48.8732619600; 2.3589451610
Space Invader PA_0550;PA_0550; PA; 8 rue de l'Échaudé; 8 rue de l'Échaudé;48.8548200000; 2.3366000000
Space Invader PA_0551;PA_0551; PA; 1 avenue Ibsen; 1 avenue Ibsen;48.8652350000; 2.4115010000
Space Invader PA_0554;PA_0554; PA; 101 rue de Reuilly; 101 rue de Reuilly;48.8432570000; 2.3915610000
Space Invader PA_0566;PA_0566; PA; 181 rue de la Roquette; 181 rue de la Roquette;48.8598670000; 2.3885140000
Space Invader PA_0567;PA_0567; PA; 117 rue Haxo; 117 rue Haxo;48.8760230000; 2.4022230000
Space Invader PA_0570;PA_0570; PA; 82 rue François Miron; 82 rue François Miron;48.8553000000; 2.3595000000
