code,invaders.geo,lat,lon
PA_0058,14 Rue Louise Weiss. 75013 Paris,48.83334,2.37073
PA_0059,1 Rue Lacordaire. 75015 Paris,48.84427,2.2846099
PA_0060,Impasse Saint-Eustache. 75001 Paris,48.86376,2.34547
PA_0061,2 Rue des Petits-Carreaux. 75002 Paris,48.86639,2.34726
PA_0062,99 Rue Réaumur. 75002 Paris,48.86764,2.3455499
PA_0063, 74 rue de Charonne,48.8534210000, 2.3798630000
PA_0064, devant le Musée d'Art Moderne,48.8647660000, 2.2973970000
PA_0065, 30 rue de Lappe,48.8530920000, 2.3739140000
PA_0066,63 Rue des Trois Fréres. 75018 Paris,48.8855999,2.33815
PA_0067,63 Rue des Trois Fréres. 75018 Paris,48.8855999,2.33815
PA_0068,63 Rue des Trois Fréres. 75018 Paris,48.8855999,2.33815
PA_0069,40 Rue du Banquier. 75013 Paris,48.8347,2.35424
PA_0070, 1 rue de la Verrerie,48.8568290000, 2.3554650000
PA_0071, 5 rue de Fourcy,48.8548020000, 2.3590200000
PA_0072,Rue Charles Luizet. 75011 Paris,48.86166,2.36732
PA_0073,93 Rue Jean-Pierre Timbaud. 75011 Paris,48.86834,2.37926
PA_0075, sur le piédestal du lion,48.8342950000, 2.3324660000
PA_0076, statue de Jeanne &quot,48.8383300000, 2.3570130000
PA_0077,10 Rue de Fleurus. 75006 Paris,48.84713,2.33128
PA_0078,Passage du Moulin des Prés. 75013 Paris,48.82904,2.3532
PA_0079,5 Rue Chéreau. 75013 Paris,48.82785,2.35146
PA_0080,5 Rue Ballu. 75009 Paris,48.88159,2.33103
PA_0081,88 Rue Saint-Maur. 75011 Paris,48.86493,2.37793
PA_0082, pasage de la Voûte,48.8468920000, 2.4085960000
PA_0083,Paris. Paris,48.864766, 2.364624
PA_0084,15 Rue du Pas-de-la-Mule. 75004 Paris,48.85597,2.36678
PA_0085, 58 rue de Charonne,48.8531940000, 2.3781920000
PA_0087, escalier du port de la Gare,48.8373940000, 2.3741620000
PA_0090, métro Etienne Marcel,48.8637200000, 2.3489900000
PA_0092,8 Rue de la Ferronnerie. 75001 Paris,48.86034,2.34734
PA_0093,Pont du Carrousel. Paris,48.86000061,2.333333015
PA_0094, porte Fleurus du jardin du Luxembourg,48.8470400000, 2.3326300000
PA_0095,65 Rue de Richelieu. 75002 Paris,48.8672899,2.33759
PA_0097, 205 rue de Charenton,48.8394400000, 2.3890050000
PA_0098,  PA_0099. sur la fontaine Saint-Michel,48.8531920000, 2.3437020000
PA_0099,  PA_0099. sur la fontaine Saint-Michel,48.8531920000, 2.3437020000
PA_0102,42 Boulevard de l'Hépital. 75005 Paris,48.84008,2.36155
PA_0103, 30 rue du Temple. dans la cour,48.8592530000, 2.3540450000
PA_0105, à droite du lion de la statue,48.8674400000, 2.3638000000
PA_0106,2 Rue Charlemagne. 75004 Paris,48.85392,2.36188
PA_0109,Musée National d'Art Moderne. Paris,48.860, 2.3526
PA_0110,91 Rue Quincampoix. 75003 Paris,48.86257,2.35122
PA_0111, école primaire Hermel,48.8915980000, 2.3446640000
PA_0112,19 Rue Gassendi. 75014 Paris,48.83505,2.32702
PA_0113,46 Rue du Cardinal Lemoine. 75005 Paris,48.84662,2.35141
PA_0114,26 Rue Vieille-du-Temple. 75004 Paris,48.85714,2.35734
PA_0115,Paris. Paris,48.858377, 2.359364
PA_0116, 45 passage Thiéré,48.8547190000, 2.3727640000
PA_0117,Paris. Paris,48.854502, 2.372803
PA_0118, 1 rue Raymond Ayron,48.8355760000, 2.3753470000
PA_0119,102 Rue de Bagnolet. 75020 Paris,48.85936,2.40271
PA_0120,44 Quai de Jemmapes. 75010 Paris,48.86954,2.36718
PA_0121, 7 rue des Saints-Pères,48.8576290000, 2.3327970000
PA_0122,Rue de la Clef. 75005 Paris,48.84211,2.35265
PA_0124,40 Rue de l'Arcade. 75008 Paris,48.87348,2.32444
PA_0125, sud de la Fontaine aux Lions,48.8395400000, 2.3958100000
PA_0126, pont d'Iéna (rive gauche),48.8592220000, 2.2926810000
PA_0128, 1 rue de Charonne,48.8520000000, 2.3737600000
PA_0131,53 Rue des Orteaux. 75020 Paris,48.8564999,2.40307
PA_0132,97 Rue des Maraéchers. 75020 Paris,48.85627,2.40529
PA_0133,7 Passage de la Main-d'Or. 75011 Paris,48.8516,2.37788
PA_0143,Place du Chételet. Paris,48.85749817,2.34722209
PA_0144, face au 49 rue Saint-Merri,48.8601400000, 2.3507800000
PA_0145, 9 rue Saint-Merri,48.8593000000, 2.3530090000
PA_0146,2 rue Véronese. Paris,48.834213,2.355482
PA_0147,Gare d'Austerlitz. Paris,48.84222412,2.365833044
PA_0148, sur le pont d'Arcole,48.8559300000, 2.3506300000
PA_0149, 1 rue de Turenne,48.8547170000, 2.3629110000
PA_0150, angle de la Sorbonne,48.8474500000, 2.3435800000
PA_0151,28 Rue Lhomond. 75005 Paris,48.84296,2.34688
PA_0152,Praéa da Concérdia. Paris,48.86505508,2.321854115
PA_0154,metro de Bel-Air. Paris,48.840948,2.400909
PA_0155,16 Rue des 3 Portes. 75005 Paris,48.8513499,2.34829
PA_0156,2 Rue Simon le Franc. 75004 Paris,48.85993,2.35424
PA_0157,10 Rue Clovis. 75005 Paris,48.8463246,2.3489241
PA_0158,7 Rue Debelleyme. 75003 Paris,48.86068,2.3637
PA_0159, 69 rue d'Hauteville. 75009, 48.876, 2.351
PA_0160,16 Rue André Barsacq. 75018 Paris,48.88537,2.34071
PA_0161,17 Rue Yvonne le Tac. 75018 Paris,48.88416,2.33955
PA_0162,8 Quai de la Seine. 75019 Paris,48.88487,2.37108
PA_0163,133 Rue Saint-Jacques. 75005 Paris,48.846906,2.34358
PA_0165,5 Rue Cortot. 75018 Paris,48.8876,2.34072
PA_0166,21 Rue Georges Auric. 75019 Paris,48.88519,2.38525
PA_0167,  PA_0168. 37 rue Richelieu,48.8655230000, 2.3366740000
PA_0168,  37 rue Richelieu,48.8655230000, 2.3366740000
PA_0169,2 Rue du Mont-Cenis. 75018 Paris,48.8867,2.34151
PA_0172, 21 rue Carpeaux,48.8911900000, 2.3318000000
PA_0175,18 Passage du Chantier. 75012 Paris,48.85151,2.37352
PA_0176,12 Rue Cassette. 75006 Paris,48.84984,2.3307699
PA_0177,Rue du 29 Juillet. 75001 Paris,48.86493,2.33047
PA_0178,165 Rue du Faubourg Saint-Honoré. 75008 Paris,48.87466,2.30595
PA_0179, entrée du tunnel de Champigny,48.8272500000, 2.5072100000
PA_0180,14 Rue Madame. 75006 Paris,48.85113,2.33191
PA_0181,Rue Madame. 75006 Paris,48.84863,2.3316499
PA_0182,18 Rue Madame. 75006 Paris,48.8508535,2.3317096
PA_0183,19 Rue des Mystéres de Paris. 95400 Villiers-le-Bel,49.006,2.41281
PA_0184,2 Rue Mignon. 75006 Paris,48.85218,2.34161
PA_0185, 11 rue Scribe. 75009, 48.872699,2.33108
PA_0188, 39 rue des Francs-Bourgeois,48.8578800000, 2.3601800000
PA_0189,3 Rue Geoffroy l'Angevin. 75004 Paris,48.86055,2.35442
PA_0190, 1 rue Stendhal,48.8602080000, 2.4037040000
PA_0191,21 Chemin du Parc de Charonne. 75020 Paris,48.86081,2.40285
PA_0192, face au 130 rue de Bagnolet,48.8609740000, 2.4049650000
PA_0193,29 Rue Réaumur. 75003 Paris,48.86527,2.35648
PA_0194,61 Rue du Chemin Vert. 75011 Paris,48.85994,2.37729
PA_0195,Avenue de la Porte de Clignancourt. 75018 Paris,48.8999499,2.3439199
PA_0196, place de la Bataille de Stalingrad,48.8837030000, 2.3688950000
PA_0197,rue joseph de maistre. Paris,48.886669,2.332505
PA_0198, 31 rue saint marthe.75010 Paris, 48.874314,2.372519 
PA_0200,194 Rue de Bercy. 75012 Paris,48.8446575,2.3722657
PA_0201,19 Rue Georges Lardennois. 75019 Paris,48.87807,2.37691
PA_0205, parvis de Saint-Vincent-de-Paul,48.8780730000, 2.3516800000
PA_0206,Place de Clichy. Paris,48.88351822,2.327394009
PA_0207,7 Rue Damrémont. 75018 Paris,48.8876599,2.33256
PA_0208, métro Raspail,48.8374280000, 2.3314910000
PA_0209, sur la coque du Batofar,48.8333510000, 2.3793870000
PA_0211, 30 rue du Faubourg Saint-Antoine,48.8524410000, 2.3716070000
PA_0212, 123 boulevard de Charonne,48.8570500000, 2.3930500000
PA_0213, 84 rue Mouffetard,48.8420990000, 2.3496830000
PA_0215,  PA_1056. 0 rue Montgallet,48.8425920000, 2.3861570000
PA_0216,67 Rue de l'Amiral Mouchez. 75013 Paris,48.82138,2.34313
PA_0218,Paris. Paris,48.844212, 2.372015
PA_0219, face au 8 rue André Voguet,48.8195700000, 2.3736700000
PA_0220,Métro-Quai de la Gare. Paris,48.83745956,2.373749971
PA_0221,91 Rue Rébeval. 75019 Paris,48.87393,2.38266
PA_0222,94 Rue du Faubourg du Temple. 75011 Paris,48.87103,2.37427
PA_0223,20 Rue Abel. 75012 Paris,48.84814,2.37605
PA_0224, sur les panneaux d'information du périph',48.8198740000, 2.3736070000
PA_0225,Métro-Porte d'Ivry. Paris,48.82165909,2.369950056
PA_0226,83 Rue d'Hauteville. 75010 Paris,48.87684,2.35124
PA_0227, 15 rue Martel. Paris 10, 48.874137, 2.353022
PA_0228,Rue de l'Ourcq. 75019 Paris,48.8933,2.37708
PA_0229,Rue Antoine Dubois. 75006 Paris,48.85121,2.33987
PA_0231,1 Rue Tiquetonne. 75002 Paris,48.86428,2.34995
PA_0232, 11 rue Française,48.8645430000, 2.3476720000
PA_0233,1 Rue des Cévennes. 75015 Paris,48.84444,2.2762699
PA_0236, 16 rue Magellan,48.8709500000, 2.2996400000
PA_0238, 8 rue François 1er,48.8660540000, 2.3075210000
PA_0240,23 Boulevard Diderot. 75012 Paris,48.84598,2.3735
PA_0241, métro Bel-Air face sud,48.8410060000, 2.4008850000
PA_0243,8BIS Rue Abel. 75012 Paris,48.84668,2.37504
PA_0245,47 Rue Oberkampf. 75011 Paris,48.86456,2.3719199
PA_0247,1 Rue Firmin Gillot. 75015 Paris,48.8332953,2.2897599
PA_0248,64 Rue de la Fontaine-au-Roi. 75011 Paris,48.86826,2.37444
PA_0250, entrée du mini-square de Jemmapes,48.8688610700, 2.3673552270
PA_0251, à l'ouest de la fontaine des Innocents,48.8606680000, 2.3480060000
PA_0253, pont de l'Alma côté rive droite,48.8640590000, 2.3013870000
PA_0254, 101 avenue des Champs-Élysées,48.8718090000, 2.3005410000
PA_0255, sous le banc face à l'arrêt de bus Varsovie,48.8612970000, 2.2913540000
PA_0256, place de Varsovie,48.8608660000, 2.2918050000
PA_0257, métro Passy,48.8576960000, 2.2857130000
PA_0258,29 Avenue de Lamballe. 75016 Paris,48.85439,2.27883
PA_0262, place de la Nation (côté avenue du Trône),48.8480060000, 2.3972850000
PA_0263, sur les marches du métro Victor Hugo,48.8699500000, 2.2856630000
PA_0264,115 Rue de la Tour. 75116 Paris,48.86298,2.27546
PA_0265, face au 27 boulevard Jules Sandeau,48.8629230000, 2.2722690000
PA_0266, 11 rue de la Manutention,48.8646490000, 2.2956400000
PA_0267, 10 rue de Magdebourg,48.8641440000, 2.2902350000
PA_0268, 96 rue de Courcelles,48.8790020000, 2.3036070000
PA_0269,Redoute de Gravelle. Paris,48.81888962,2.454443932
PA_0270,2 Rue Yves Toudic. 75010 Paris,48.86835,2.36532
PA_0271,7 Rue de Vaucouleurs. 75011 Paris,48.86898,2.37757
PA_0272, 96 rue de Tolbiac,48.8268000000, 2.3641640000
PA_0273,21 Rue Aubry-le-Boucher. 75004 Paris,48.86037,2.35
PA_0275, 14 rue Pierre Dupont,48.8794290000, 2.3652260000
PA_0277,31 Rue de Charonne. 75011 Paris,48.85337,2.37581
PA_0278,53 Rue des Maraéchers. 75020 Paris,48.85295,2.40652
PA_0279, 116 rue du Faubourg du Temple,48.8716300000, 2.3761500000
PA_0280,8 Rue Spinoza. 75011 Paris,48.86379,2.38596
PA_0282,61 Rue de la Verrerie. 75004 Paris,48.85803,2.35268
PA_0283, 101 rue du Faubourg du Temple,48.8708400000, 2.3735500000
PA_0285, passage Ben Aiad,48.8660300000, 2.3460700000
PA_0286,28 Rue du Chevalier de la Barre. 75018 Paris,48.88751,2.3442599
PA_0287,12 Rue Vieille-du-Temple. 75004 Paris,48.85646,2.35681
PA_0291, 15 rue des Plâtrières,48.8678677500, 2.3901218175
PA_0293,84 Rue du Faubourg du Temple. 75011 Paris,48.8706699,2.3734099
PA_0295,4 Rue du Jour. 75001 Paris,48.86378,2.34486
PA_0301,44 Rue de Charenton. 75012 Paris,48.85025,2.37346
PA_0302,rue de l'encheval,48.879049,2.389844
PA_0303, 24 passage Boiton,48.8268200000, 2.3507500000
PA_0305, face au 49 rue Geoffroy-Saint-Hilaire,48.8427100000, 2.3555100000
PA_0307,77 Rue de Ménilmontant. 75020 Paris,48.86859,2.38901
PA_0308,2 quai du 4 septembre (bordure route grille bleue). Boulogne Billancourt,48.841378,2.225242
PA_0309,Boulevard de l'Amiral Bruix. 75116 Paris,48.87542,2.2799
PA_0310,Métro-Porte de Saint-Cloud. Paris,48.83779144,2.256160021
PA_0311, face au 5 rue Bréa,48.8435790000, 2.3302930000
PA_0312,Saint-Pierre de Montrouge. Paris,48.82846451,2.327204943
PA_0315,32 Boulevard Auguste Blanqui. 75013 Paris,48.83044,2.35136
PA_0316,Rue des Artistes. 75014 Paris,48.82649,2.3346
PA_0317,Fondation Cartier Pour L Art Contemporain. Paris,48.83729935,2.331899881
PA_0320, 34 rue du Faubourg Saint-Jacques,48.8366220000, 2.3381290000
PA_0321, 17 rue Malebranche,48.8465370000, 2.3420150000
PA_0322, 77 allée du Séminaire,48.8488610000, 2.3328830000
PA_0323,102 Rue de Charonne. 75011 Paris,48.85441,2.38444
PA_0325, 17 rue Robineau,48.8649600000, 2.3939700000
PA_0327, 29 rue du Faubourg Poissonnière,48.8730100000, 2.3478100000
PA_0328,40 Rue étienne Marcel. 75002 Paris,48.86512,2.34422
PA_0329,14 Rue Pajol. 75018 Paris,48.88585,2.36091
PA_0330, 102 rue du Faubourg Poissonnière,48.8784070000, 2.3492660000
PA_0331,2 Rue Pierre au Lard. 75004 Paris,48.85945,2.35306
PA_0332,41 Rue du Repos. 75020 Paris,48.85954,2.38954
PA_0334,Place Valhubert. 75013 Paris,48.84376,2.36538
PA_0335, 135 boulevard de la Villette,48.8821240000, 2.3699490000
PA_0336, centre d'Hygiène Sociale,48.8904390000, 2.3532390000
PA_0339,Square du Docteur Grancher. Paris,48.86534119,2.39470005
PA_0340, 45 quai de Bourbon,48.8535600000, 2.3536300000
PA_0342,19 Rue Laferriére. 75009 Paris,48.87904,2.33705
PA_0343, pont d'Iéna (rive droite),48.8601730000, 2.2911050000
PA_0345,95 Rue de Sévres. 75006 Paris,48.84882,2.32154
PA_0346, 16 boulevard Pasteur,48.8429050000, 2.3122450000
PA_0347,Passage des épinettes. 75014 Paris,48.843361, 2.325374
PA_0348, 39bis boulevard de la Chapelle,48.8840370000, 2.3562540000
PA_0349, 7 avenue Bosquet,48.8612450000, 2.3025930000
PA_0350,Avenue d'Ivry. 75013 Paris,48.82382,2.36462
PA_0351, 74 rue des Pyrennées. Paris 20, 48.869989, 2.394452
PA_0352, 21 rue d'Alsace,48.8776748220, 2.3582142591
PA_0353, sortie de métro face au 27 boulevard de la Madeleine,48.8694600000, 2.3247500000
PA_0354,13 Rue Jean Lantier. 75001 Paris,48.8585474,2.3458221
PA_0355,4 Rue de la Grande-Truanderie. 75001 Paris,48.86268,2.34978
PA_0357,21 Boulevard Lefebvre. 75015 Paris,48.8320999,2.29021
PA_0358, 14 rue de Savies,48.8714630000, 2.3912850000
PA_0359,45 Rue Saint-Roch. 75001 Paris,48.86649,2.3329
PA_0360,Rue Saint-Roch. 75001 Paris,48.86571,2.33248
PA_0362, en face de Chez Prune,48.8717240000, 2.3647040000
PA_0363, 116 avenue de Choisy,48.8262982710, 2.3600086569
PA_0364, 347 rue de Vaugirard,48.8371100000, 2.2963800000
PA_0365,268 Rue de Vaugirard. 75015 Paris,48.83926,2.3001
PA_0366,127 Rue Castagnary. 75015 Paris,48.82991,2.30347
PA_0367, 108 rue Brancion,48.8298100000, 2.3017000000
PA_0369,7 Rue Jules Vallés. 75011 Paris,48.8533199,2.3850699
PA_0371,Paris. Paris,48.850542, 2.383411
PA_0372, 63 rue du Faubourg Saint-Antoine,48.8519100000, 2.3740400000
PA_0373, 121 rue Oberkampf,48.8660610000, 2.3788090000
PA_0374,29 Boulevard Raspail. 75007 Paris,48.85315,2.32659
PA_0375,2 Rue de l'Est. 75020 Paris,48.87095,2.39519
PA_0376,28 Rue de Poitou. 75003 Paris,48.86166,2.36255
PA_0377, 52 boulevard Voltaire,48.8630200000, 2.3710500000
PA_0378,45 Rue de Poitou. 75003 Paris,48.86172,2.36133
PA_0379, 17 rue des Blancs-Manteaux,48.8588100000, 2.3573100000
PA_0380, port du Gros-caillou,48.8629470000, 2.3092890000
PA_0381,Place Joffre. 75007 Paris,48.851529, 2.301350
PA_0384,26 Rue du Moulin-Joly. 75011 Paris,48.86988,2.3782899
PA_0385,41 Rue Dunois. 75013 Paris,48.83151,2.3685299
PA_0386,Boulevard des Batignolles. 75017 Paris,48.88284,2.32365
PA_0388,Gare Montparnasse. Paris,48.84000015,2.318610907
PA_0389,86 Rue Botzaris. 75019 Paris,48.87943,2.3894
PA_0390,1 Passage Gustave Lepeu. 75011 Paris,48.8560299,2.38639
PA_0391,114 Quai de Bercy. 75012 Paris,48.83178,2.38531
