code;dtmaj
PA_0529;20/10/18
PA_0556;20/10/18
PA_0155;20/10/18
PA_1086;20/10/18
PA_1197;20/10/18
PA_1095;21/10/18
PA_0241;21/10/18
PA_1120;21/10/18
PA_1131;21/10/18
PA_0740;21/10/18
PA_0559;21/10/18
PA_0923;21/10/18
PA_1174;21/10/18
PA_1183;21/10/18
PA_0245;21/10/18
PA_1248;23/10/18
PA_1371;23/10/18
PA_0394;23/10/18
PA_0392;23/10/18
PA_1299;23/10/18
PA_0473;23/10/18
PA_1075;23/10/18
PA_0423;24/10/18
PA_1089;24/10/18
PA_1004;24/10/18
PA_0474;24/10/18
PA_0867;24/10/18
PA_1280;24/10/18
PA_0726;24/10/18
PA_1071;24/10/18
PA_1072;24/10/18
PA_0776;24/10/18
PA_1126;24/10/18
PA_0868;24/10/18
PA_0952;24/10/18
PA_0626;24/10/18
PA_1272;24/10/18
PA_1123;24/10/18
PA_0934;24/10/18
PA_0006;04/11/18
PA_0678;04/11/18
PA_0093;04/11/18
PA_0563;04/11/18
PA_1262;04/11/18
PA_0775;04/11/18
PA_1255;04/11/18
PA_0404;04/11/18
PA_1177;04/11/18
PA_0894;04/11/18
PA_1210;04/11/18
PA_1008;04/11/18
PA_0095;04/11/18
PA_1058;04/11/18
PA_1140;04/11/18
PA_1269;04/11/18
PA_1040;04/11/18
PA_0359;04/11/18
PA_0893;04/11/18
PA_0360;04/11/18
PA_1151;04/11/18
PA_0152;04/11/18
PA_1217;04/11/18
PA_0630;04/11/18
PA_1146;10/11/18
PA_0280;10/11/18
PA_0453;10/11/18
PA_1069;10/11/18
PA_0307;10/11/18
PA_0471;10/11/18
PA_0744;10/11/18
PA_0339;10/11/18
PA_0421;10/11/18
PA_0827;10/11/18
PA_0461;10/11/18
PA_0610;10/11/18
PA_0332;10/11/18
PA_0566;10/11/18
PA_1243;10/11/18
PA_1009;10/11/18
PA_0960;10/11/18
PA_0390;10/11/18
PA_1039;10/11/18
PA_0323;10/11/18
PA_0369;10/11/18
PA_0415;10/11/18
PA_0908;10/11/18
PA_1098;10/11/18
PA_0629;17/11/18
PA_1258;17/11/18
PA_0116;17/11/18
PA_0117;17/11/18
PA_0836;17/11/18
PA_0038;17/11/18
PA_0277;17/11/18
PA_0452;17/11/18
PA_0703;17/11/18
PA_0085;17/11/18
PA_1185;17/11/18
PA_0133;17/11/18
PA_0047;17/11/18
PA_0961;17/11/18
PA_0371;17/11/18
PA_0811;17/11/18
PA_1024;17/11/18
PA_0944;17/11/18
PA_1101;01/12/18
PA_0099;13/12/18
PA_0606;13/12/18
PA_0592;24/12/18
PA_0322;24/12/18
PA_0635;24/12/18
PA_1154;27/12/18
PA_0105;27/12/18
PA_0494;28/12/18
PA_0015;29/12/18
PA_1082;29/12/18
PA_0223;29/12/18
PA_0013;29/12/18
PA_1129;29/12/18
PA_0243;29/12/18
PA_1130;29/12/18
PA_0334;29/12/18
PA_1088;29/12/18
PA_0122;29/12/18
PA_0766;29/12/18
PA_1235;29/12/18
PA_1236;29/12/18
PA_1240;31/12/18
PA_1145;31/12/18
PA_0705;31/12/18
PA_0385;31/12/18
PA_0422;31/12/18
PA_0543;31/12/18
PA_0460;31/12/18
PA_0459;31/12/18
PA_0475;02/01/19
PA_0885;02/01/19
PA_1159;02/01/19
PA_0916;02/01/19
PA_0917;02/01/19
PA_0618;02/01/19
PA_0617;02/01/19
PA_1182;02/01/19
PA_1251;02/01/19
PA_0664;02/01/19
PA_1143;02/01/19
PA_0309;02/01/19
PA_1144;02/01/19
PA_1216;02/01/19
PA_0176;03/01/19
PA_0077;03/01/19
PA_1078;04/01/19
PA_0462;04/01/19
PA_1165;04/01/19
PA_0506;04/01/19
PA_0061;04/01/19
PA_0468;04/01/19
PA_0841;04/01/19
PA_0470;04/01/19
PA_1062;04/01/19
PA_1057;04/01/19
PA_0328;04/01/19
PA_0406;05/01/19
PA_1266;05/01/19
PA_0932;05/01/19
PA_0496;05/01/19
PA_0713;05/01/19
PA_1163;05/01/19
PA_1207;05/01/19
PA_0448;05/01/19
PA_0430;05/01/19
PA_0813;05/01/19
PA_0869;05/01/19
PA_0870;05/01/19
PA_0007;05/01/19
PA_1019;05/01/19
PA_0019;05/01/19
PA_1147;05/01/19
PA_0853;05/01/19
PA_0507;05/01/19
PA_0198;05/01/19
PA_0222;05/01/19
PA_0293;05/01/19
PA_0446;05/01/19
PA_0774;05/01/19
PA_0248;05/01/19
PA_0466;05/01/19
PA_1277;05/01/19
PA_0945;05/01/19
PA_1206;05/01/19
PA_0963;05/01/19
PA_0955;05/01/19
PA_0493;02/02/19
PA_0712;02/02/19
PA_1256;02/02/19
PA_0947;02/02/19
PA_1067;02/02/19
PA_1324;02/02/19
PA_1011;02/02/19
PA_1220;02/02/19
PA_0946;02/02/19
PA_0948;02/02/19
PA_0859;02/02/19
PA_0400;06/02/19
PA_0253;06/02/19
PA_1290;06/02/19
PA_1289;06/02/19
PA_1257;06/02/19
PA_0653;09/02/19
PA_1074;09/02/19
PA_0449;09/02/19
PA_1294;09/02/19
PA_1229;09/02/19
PA_0756;09/02/19
PA_1175;09/02/19
PA_1176;09/02/19
