lat;long;text;invader;code;artist;address;address2;yena2
48.8603104700; 2.3473834991; Space Invader PA_0092, 8 rue de la Ferronnerie; Space Invader PA_0092;PA_0092; PA;, 8 rue de la Ferronnerie; 8 rue de la Ferronnerie;
48.8402392170; 2.3154866690; Space Invader PA_0674, passage Alexandre; Space Invader PA_0674;PA_0674; PA;, passage Alexandre; passage Alexandre;
48.8617220000; 2.3516000000; Space Invader PA_0926, 149 rue Saint-Martin; Space Invader PA_0926;PA_0926; PA;, 149 rue Saint-Martin; 149 rue Saint-Martin;
48.8670526190; 2.3979941010; Space Invader PA_0411, 68 rue Orfila; Space Invader PA_0411;PA_0411; PA;, 68 rue Orfila; 68 rue Orfila;
48.8716327390; 2.4041149020; Space Invader PA_0658, métro Saint-Fargeau; Space Invader PA_0658;PA_0658; PA;, métro Saint-Fargeau; métro Saint-Fargeau;
48.8732928410; 2.3825499415; Space Invader PA_0732, 2 rue Jouye-Rouve; Space Invader PA_0732;PA_0732; PA;, 2 rue Jouye-Rouve; 2 rue Jouye-Rouve;
48.8559869700; 2.3666632175; Space Invader PA_0637, 22 place des Vosges; Space Invader PA_0637;PA_0637; PA;, 22 place des Vosges; 22 place des Vosges;
48.8568022870; 2.3629617600; Space Invader PA_0682, 21 rue des Francs-Bourgeois; Space Invader PA_0682;PA_0682; PA;, 21 rue des Francs-Bourgeois; 21 rue des Francs-Bourgeois;
48.8647835750; 2.3456829786; Space Invader PA_0470,  64 rue Tiquetonne; Space Invader PA_0470;PA_0470; PA;,  64 rue Tiquetonne;  64 rue Tiquetonne;
48.8647835750; 2.3456829786; Space Invader PA_1062, 64 rue Tiquetonne; Space Invader PA_1062;PA_1062; PA;, 64 rue Tiquetonne; 64 rue Tiquetonne;
48.8647835750; 2.3456829786; Space Invader PA_1057, 64 rue Tiquetonne; Space Invader PA_1057;PA_1057; PA;, 64 rue Tiquetonne; 64 rue Tiquetonne;
48.8624410000; 2.3352720000; Space Invader PA_0576, 2 place du Carrousel; Space Invader PA_0576;PA_0576; PA;, 2 place du Carrousel; 2 place du Carrousel;
48.8452630800; 2.3118361830; Space Invader PA_0578, 3 place Henri Queuille; Space Invader PA_0578;PA_0578; PA;, 3 place Henri Queuille; 3 place Henri Queuille;
48.8605800000; 2.3455630000; Space Invader PA_1030, 41 rue des Bourdonnais; Space Invader PA_1030;PA_1030; PA;, 41 rue des Bourdonnais; 41 rue des Bourdonnais;
48.8404139830; 2.3530000448; Space Invader PA_0502, 29 rue Censier; Space Invader PA_0502;PA_0502; PA;, 29 rue Censier; 29 rue Censier;
48.8262982710; 2.3600086569; Space Invader PA_0363, 116 avenue de Choisy; Space Invader PA_0363;PA_0363; PA;, 116 avenue de Choisy; 116 avenue de Choisy;
48.8543510020; 2.3445779085; Space Invader PA_0394, pont Saint-Michel; Space Invader PA_0394;PA_0394; PA;, pont Saint-Michel; pont Saint-Michel;
48.8433672750; 2.3792079091; Space Invader PA_0542, 5 rue de Rambouillet; Space Invader PA_0542;PA_0542; PA;, 5 rue de Rambouillet; 5 rue de Rambouillet;
48.8658316530; 2.3700052499; Space Invader PA_0683, 132 boulevard Richard Lenoir; Space Invader PA_0683;PA_0683; PA;, 132 boulevard Richard Lenoir; 132 boulevard Richard Lenoir;
48.8688610700; 2.3673552270; Space Invader PA_0250, entrée du mini-square de Jemmapes; Space Invader PA_0250;PA_0250; PA;, entrée du mini-square de Jemmapes; entrée du mini-square de Jemmapes;
48.8721480000; 2.3651480000; Space Invader PA_0448, 80 quai Jemmapes; Space Invader PA_0448;PA_0448; PA;, 80 quai Jemmapes; 80 quai Jemmapes;
